"id","case_code","category_code","case_content","create_user","create_time","modify_user","modify_time","del_stat","version_no"
"23","109544030000000a01","109544030000000a","2022年5月23日下午5点【起止时间】，道路救援车辆A与待救援车辆B处于相离状态【类型】，【距离】5公里，A位于B东北方向【方位】，相对速度为5km/h【变化情况】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"24","109544030000000a02","109544030000000a","2021年10月15日下午3点【起止时间】，共享单车A、B分别被停放在小区C、餐馆附近的停车点，两辆车处于相离状态【类型】，【距离】1公里，A位于B的西南方向【方位】，相对速度为0【变化情况】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"25","109544040000000001","1095440400000000","2022年5月23日下午2点到4点，货车A以收纳型【类型】承载核酸检测试剂盒B运往检测站点【目的】，B位于A的前半部分【相对位置】，本次【承重】为B的重量1吨，【容量】为B的体积2立方米，承载方式是合规的【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"26","109544040000000002","1095440400000000","2022年5月23日下午2点到4点，为防止破损【目的】，采用医用品外抽式真空包装袋A以收纳型【类型】承载医用防护服B送往核酸检测点，A容量为1立方米，承载方式是合规的【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"27","109522010000000901","1095220100000009","自2016年7月起【起止时间】，次渠嘉园小区3号楼作为小区的构成单元【类型】从属于小区，从属的【功能】是分流",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"28","109522010000000902","1095220100000009","自2022年5月20日起【起止时间】，海淀区全域提级管控，京东科技大厦位于海淀区，从属于管控区，是管控区的子集【类型】，可对该从属关系进行评估，【评估结果】为合理",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"29","109522020000000c01","109522020000000c","自2005年京昆高速修建以来，忻府服务区与京昆高速并联【类型】相连，【容量】为峰值300人次，【方式】为辅路连接，【目的】是为京昆高速提供配套设施，对连接辅路的【评估结果】为通行效率高，安全系数高",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"30","109522020000000c02","109522020000000c","2022年5月1日，当天14时起【起止时间】，广州地铁七号线西延顺德段正式开通初期运营【通行】。广州地铁七号线西延顺德段将美的大道、北滘公园、美的、南涌、锦龙、陈村、陈村北、大洲等8个站串联起来，成为一条新的风景线【连接方式】。截至1日20时【起止时间】，七号线西延段进站1.45万人次，出站1.56万人次【人流量】。发车间隔和运营组织与一期采用同样标准，每天高峰时段将上线18列车，行车间隔约5分半钟【车流量】。作为连接广佛的城市轨道交通大动脉，广州地铁七号线西延顺德段不仅将为顺德、番禺的居民带来新的出行选择，还将顺德拉入广州密集的城市轨道“一张网”中，让生活更加便利【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"31","109522030000000201","1095220300000002","北京市北京西站与大兴机场空间关系为相离【类型】，【距离】为58.8公里，西站位于机场北偏西15度方向【方位】，该空间关系下转乘时间较长【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"32","109522030000000202","1095220300000002","次渠嘉园小区1号楼和2号楼相离【类型】，【距离】20米，1号楼位于3号楼正东方【方位】，遮挡程度高【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"33","109533010000000001","1095330100000000","2022年2月4日至10日，24届冬奥会在北京举办，奥运会赛事媒体宣传报道从属于奥运会大事件【依据】，是奥运会大事件的宣传类组件【类型】，【功能】是对奥运赛事进行宣传，宣传报道对奥运会起着正面影响【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"34","109533010000000002","1095330100000000","2022年5月23日下午2点到4点，人员A到核酸点位开展核酸检测，该事件A包括身份证扫描B与唾液采集C两个子事件【依据】，B属于A的组件【类型】，【功能】是提供信息",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"35","109533020000000301","1095330200000003","2022年5月，上海交通大学保卫处安保队员蒋家杰收到了上海交大电子信息与电气工程学院硕士研究生的录取通知（一果）。2021年2月，28岁的蒋家杰入职上海交大保卫处技防科后，因为其相关经历，被委以常态化监控调阅、统计汇总数字化管理中的基础数据和闵行校区公共区域3000余台监控的巡检和维修保障工作，工作之余他保持着每天6小时左右的学习时长，并开始有序推进考研事项，其中处内领导、同事也对他做出了很大的支持（多因），最终他如愿收到录取通知书",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"36","109533020000000302","1095330200000003","2022年1月3日上午10点，长征西街与七一南路交叉口处，因醉酒驾驶发生车祸事故(一因)，事故发生后10分钟内交警到场协调解决（一果）【类型】，两个事件中因事件对果事件的【影响程度】高",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"37","109533030000000601","1095330300000006","2022年5月19日，阳性人员A经历了如下事件：网吧上网(事件A)、饭店吃饭(事件B)，A与B为前序关系【类型】，【相关性】较低",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"38","109533030000000602","1095330300000006","2008年5月12日，四川汶川发生大地震，地震中包含多个事件，如房屋倒塌(事件A)与房屋外墙脱落(事件B)，A为主要事件，B为次要事件【角色】，A与B均因地震导致【相关性】",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"39","109555010000000801","1095550100000008","自2012年9月5日京东科技成立以来【起止时间】，其作为一个子集团从属于京东集团，【汇报链】是单线汇报，京东集团对京东科技做考核评估（【评估结果】）",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"40","109555010000000802","1095550100000008","2020年9月18日【起止时间】，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例14例，均为境外输入病例（广东6例，上海2例，四川2例，陕西2例，辽宁1例，福建1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）；【汇报链】是单线汇报，中央政府对各地区的疫情防控管控效果进行评估与指导【评估结果】",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"41","109555020000000b01","109555020000000b","市交通管理委员会领导市交管局，【类型】属于直接上级，管理集中在业务方面，由于还要汇报给省交管局，【汇报链】属于双线汇报，领导关系的【起止时间】这里同组织形成的时间一致，【权限范畴】包括交管局执法状态监管、操作规范等，【方式】包括定期检测、主动报送等，交管委可能以季度考核形式对交管局进行考核，【评估结果】如优秀、良好等",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"42","109555020000000b02","109555020000000b","疫情防控专班管理公安局/街道办/医院/经信局/企业等各其它组织，【类型】属于疫情防控专题下的虚线管理，范畴为疫情防控，汇报链为多线汇报（这些被管理的组织还有其他汇报上级），【起止时间】为疫情防控专班的起止时间，【权限范畴】包括物资生产、管控政策、检测要求、消杀措施等",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"43","109555030000000101","1095550300000001","经信局指导企业复工复产，从2020年疫情发生开始（【起止时间】），【频率】不定期，指导【范畴】是复工复产，【方式】包括政策发布（惠企政策发布会、线上政策文件）、定向通知（电话、邮件通知）、定期会晤（经开区复工复产大会），会评估复工复产的有序开展程度(【评估结果】），【价格】是免费，内容包括惠企政策、复工复产措施指导等",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"44","109555030000000102","1095550300000001","京东乡村振兴委员会指导京东城市业务，从委员会成立开始至今（【起止时间】），【频率】每月一次月会，指导【范畴】是乡村振兴业务，【方式】包括定期会晤、需求提报等，【价格】是免费，内容包括政策解读、业务研讨、关系协调",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"45","109555040000000401","1095550400000004","防疫专班与企业协作，【类型】涉及资源协作（企业生产物资）、技术协作（企业分析数据）、配合协作（企业组织核酸检测）、信息协作（企业数据支持），配合关系的【起止时间】从2022年1月 至今，【职责分工】防疫专班负责制定政策，提供需求，企业负责生产物资、技术支持、配合检测、提供数据等；另一方面企业可以提供物资需求，防疫专班负责协调物资来源，协作【目的】包括抗疫中的物资供给、密接分析、人员筛查、数据挖掘等，协作【方式】有政策执行、需求提报等方式，【进程】有完成、生产进度90%、核酸检测50%等取值，过程中配合默契、沟通通畅、协作及时、态度积极，协作【结果】包括物资、密接分析结果、核酸阳性发现等，通过企业产生社会效益、企业获得物资等方式进行成果划分",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"46","109555040000000402","1095550400000004","小学A与初中B联合办学，【类型】有资源协作（教学物资、师资）、配合协助（小升初直升）等，【起止时间】是在今年1月份两家签订协作协议开始，【目的】是九年一贯制上学，免升学考试，提升吸引力，协作【方式】包括物资共享、教师交流、政策优惠，协作【进程】为已完成，持续协作中，协作【状态】为配合良好，协作【结果】有提升教学水平、提高学生质量",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"47","109555050000000701","1095550500000007","教育机构A和B相互竞争，【类型】属于商业竞争，【起止时间】从2021年1月到5月A收购B结束，竞争的【目标】是用户（获取更多用户以抢占市场），【领域】属于教育行业，【方式】包括强化宣传、优化课程质量、课程价格战等，【状态】从僵持到A胜利（收购）",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"48","109555050000000702","1095550500000007","京东城市与友商竞争某市大数据平台项目，【类型】属于商业竞争，【起止时间】为19年1月至3月京东城市胜利为止，【目标】是项目（取得项目投标建设权），【领域】是智慧城市领域，竞争【方式】包括优化产品宣传、企业资源置换、客户关系等，【状态】从僵持到京东城市优势",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"49","109515010000000901","1095150100000009","郑总于2018年【起止时间】从无到有新建（【类型】）创立京东城市，【动因】致力于用AI和大数据打造智能城市，创立的【角色】是创始人，【资金来源】为京东集团，目前【进程】为已成立并在数十座城市成功开展业务，【价值】是极大加速了中国智慧城市行业发展进程",NULL,"2023-05-23 00:35:23",NULL,"2024-01-18 07:00:22","0","0"
"50","109515010000000902","1095150100000009","同学A正在作为合伙人【角色】创立一家私募基金，为了自己赚钱【动因】，【资金来源】为自由资金加金融租赁，目前在审批中【进程】，也促进了中国金融市场的发展【价值】，创立关系的【起止时间】从他与合伙人组织筹备开始到现在，【要求】是具备出资资本不少于5亿元",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"51","109515020000000c01","109515020000000c","张总从2022年4月底开始到现在【起止时间】作为部门负责人【职位】管理智能引擎组，他是通过内部调任的【任命方式】开始管理的，【管理范畴】包括部门的产品、支持的项目以及人员考核等，在业务方面的【权限大小】属于主要决策，在人事上配合上级领导和HR，属于参与决策，【酬劳】是以月度工资和年终奖，作为管理者也会被评估其管理【绩效】，包括360评估等方式",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"52","109515020000000c02","109515020000000c","张部长【职位】自2022年起【起止时间】通过领导任命【任命方式】担任现职，负责交通部常务工作【权限范畴】，拥有常务工作上的主要决策权【权限大小】，其工资待遇属于普通公务员工资【酬劳】，根据领导干部的考核评估方法被综合评估任职期间【绩效】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"53","109515030000000201","1095150300000002","参考京me上信息，孙某某通过校招【入职方式】进入京东，起始于2019年八月，合同签订至20xx年【起止时间】，岗位是算法工程师【岗位】且属于Tx【职级】，属于劳动合同类型【用工性质】。目前负责完善城市知识体系等任务【职责】，每月X万元【薪酬】，从属期间享有五险一金、20元餐补、安居计划等员工福利【福利待遇】，年度【绩效】、360评估优秀，【办公地点】在亦庄总部，汇报给钧波总、郑总【汇报链】，入职要求包含学历、技术水平、身体状况等【要求】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"54","109515030000000202","1095150300000002","山西省直机关主任科员【职级】需任副科级职务三年以上【要求】，通过内部晋升、组织推荐等方式【入职方式】，作为组织部科员【岗位】，日常工作包括日常接待、事务处理等【职责】，其与用人单位为签订劳动合同关系【用工性质】，劳资为每年xx元【薪酬】，员工福利包括五险一金、员工宿舍、参补等【福利待遇】，在省办公厅办工【办公地点】，汇报给处长【汇报链】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"55","109515040000000501","1095150400000005","2021年4月【起止时间】，因郑总在智能城市领域做出的杰出贡献（抗疫、雄安、南通、雄安、广汉等项目）【主要贡献】，通过基层工会推荐、总工会审核的方式【评选方式】，被正部级【级别】的北京市总工会授予首都劳动奖章【激励方式，称号】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"56","109515040000000502","1095150400000005","2012年10月【起止时间】，通过诺贝尔组委会评选【评选方式】，因在文学领域的成就【主要贡献】，作家莫言荣获诺贝尔文学奖【称号】这一世界级奖项【级别】和相应的奖金【激励方式】一千万瑞典克朗",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"57","109515050000000801","1095150500000008","自2020年开始疫情防控期间，核酸检测志愿者【类型】承担了大量防疫任务，他们通过培训达到任职【要求】，负责完成大量核酸检测任务【职责】，支持防疫人员筛查【产物价值】，通过志愿报名【招募方式】加入团队，【价值回报方式】是志愿者证书和劳务费，【工作强度】为10小时/天，每个人持续1个月，自2022年5月1日新招入，工作至2022年5月31日【起止时间】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"58","109515050000000802","1095150500000008","企业A自2013年起【起止时间】通过主动邀请的方式【招聘】雇佣了【价值回报方式】富有经验的高级律师【要求】做企业法律顾问，顾问服务需对业务法律问题提供咨询服务【职责】，保障企业A业务的顺畅合法运行【价值】，在项目需要时需大量参与工作【工作强度】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"59","109514010000000801","1095140100000008","2013年2月【起止时间】，刘云平担任设计冬奥吉祥物冰墩墩任务的总执行角色【角色】，吉祥物属于原创性【创意类型】，【产权归属】为冬奥组委，设计风格为【中国风】，设计创意【来源】于民间征集，引发群众对冬奥会的关注【影响】，获得优秀的【评估结果】，2018年11月时该项设计处于预调研阶段【进程】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"60","109514010000000802","1095140100000008","2019年11月【起止时间】，人员A作为主要人员【角色】设计了智能红绿灯，并申请了发明专利【创意类型】，【产权归属】为个人所有，被评为优秀专利【评估结果】，得到了广泛的落地成果转化【影响】，2019年11月3日该项设计处于提交阶段",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"61","109514020000000b01","109514020000000b","2022年5月23日下午2点到4点【起止时间】，景德镇XX厂人员A【个体户】在家中，以纯手工方式【自动化水平】结合陶制【工艺】，使用陶炉【工具】制造瓷器，成本为300元，收益为1000元，下午3点15分，进度完成70%【进程】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"62","109514020000000b02","109514020000000b","2022年5月23日下午2点到4点【起止时间】，京造代工厂工人A在工厂制造产品B，通过操作雕刻刀【工具】采用珐琅掐丝【工艺】开展生产活动，该制造过程是半自动的，成本为500元，可获取劳动报酬【收益】，【评估结果】为优秀，3点15分时该制造任务完成90%【进程】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"63","109514030000000101","1095140300000001","京造代工厂工人A使用企业提供的可以大幅度提升组装效率的【动因】自动化工具，从2021年加入开始【起止时间】生产【类型】耳机时，无需花费使用【成本】，且需要经过培训达到一定的【技能要求】，可根据生产出的产品对工人使用工具的生产效率做出【评估】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"64","109514030000000102","1095140300000001","司机A于2022年1月经过1个月培训考试通过【评估】后【起止时间】取得公交车驾驶证【技能要求】，为了挣钱谋生【动因】每天需要驾驶使用公交车，【类型】属于服务，无【成本】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"65","109514040000000401","1095140400000004","某人A自22年1月在奔驰4S店【来源】购买【评估】至今【起止时间】拥有一辆汽车【类型】，用于上下班【用途】，即便不使用，也需要缴纳保险费、定期保养【拥有成本】，包含使用权和所有权",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"66","109514040000000402","1095140400000004","某人A花费xx元申请费【获取成本】后等到2021年1月授权生效【起止时间】获得专利局对某项专利的授权【来源】，可以用于获取许可使用费、提高个人技术影响力，每年缴纳逐年增加的专利授权费【拥有成本】，包括使用权和所有权【类型】",NULL,"2023-05-23 00:35:24",NULL,"2024-01-18 07:00:22","0","0"
"67","109514050000000701","1095140500000007","某人在拍卖行拍卖【方式】违法拍卖【评估】偷盗所得黄金手表，卖出【类型】获得现金【结果】2万元【价格】，实际收益【成本】为0，【权利类型】属于使用权，【动因】是销赃，【进程】是拍卖完成",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"68","109514050000000702","1095140500000007","赌王何鸿燊2003年【起止时间】通过国家文物局捐赠渠道【方式】免费【价格】捐赠【类型】猪首和马首铜像，受到广泛好评【结果】，其中这两件文物均是由何先生进过合法拍卖【评估】获得，最终何先生赢得拍卖【进程】并自付运费【成本】，大家都非常赞扬对于何先生为保护祖国文物作出的贡献【动因】",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"69","109514060000000a01","109514060000000a","交警2022年1月入职以来【起止时间】依据执法权【权力来源】对道路车辆进行直接【类型】管理，使用测速仪、执法记录仪(工具】监测车辆速度、记录管理过程，管理车辆的超速、违停等行为【权限范畴】，需要投入人力【成本】，主要通过现场监督执法的【方式】，保障交通安全有序运行【动因】，管理【措施】有开罚单、扣押车辆等，其【职责】是管理车辆的违章行为，保障交通顺利运行，【角色】是作为交警，由于执法期间发生失误遭到投诉，【评估】执法较差",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"70","109514060000000a02","109514060000000a","雄安郊野公园的项目经理【角色】负责项目交付前的项目进度、资源等项目管理工作【职责】，期间间接【类型】监管土壤感知设备，从2021年项目开始建设到交付【起止时间】，通过智能管理系统【工具】持续远程监测设备运行状态【方式】，并通知相关运维人员进行进一步排查和维修【措施】，花费0.1人月的人力【成本】，保障了郊野公园的持续良好【评估】运行【动因】",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"71","109514070000000001","1095140700000000","京东大厦的安保人员A【角色】属于京东员工【途径】，自2021年入职以来【起止时间】负责大厦12层的消防安全维护工作【类型】，每天一次定期【频次】使用检测【设备】检测大楼内所有消防设备的正常运行，保障火灾时的正常使用【动因】，获得工资【成本】，被【评估】绩效良好，【技能要求】熟悉消防设备",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"72","109514070000000002","1095140700000000","交通摄像头有某公司运维人员【角色，途径】负责生产和维护，在2022年5月1日【起止时间】发生故障，系统接收不到实时图像，【类型】属于修理或更换，【成本】为一次500元+设备跟换费用，【评估】其服务速度较慢但维修完成质量高，使用升降台、螺丝刀等基础【工具】进行维修，【动因】是设备调试，【技能要求】需要摄像头维修技术",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"73","109512010000000601","1095120100000006","2019年9月-2014年6月（【起止时间】），同学A在清华大学读本科（【类型】），自己缴纳住宿费（【驻留费用负担方式】）一个月5千元（【费用金额】），除寒暑假外都在校园常驻，【驻留周期】是每年9-1和2-6月，是为了读书就业",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"74","109512010000000602","1095120100000006","2022年5月（【起止时间】），北京卫健委设立（【驻留费用负担方式】-单位支付，【费用金额】-免费）多个常态化核酸监测点，并派驻疫情防控人员（【类型】-工作场所），工作人员每周7天轮换不间断驻留（【驻留周期】），加速了监测点周边的疫情筛查效率",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"75","109512010000000603","1095120100000006","2022年4月（【起止时间】），4批京东小哥“自杀式物流”驰援上海，【驻留费用负担方式】由公司承担，【费用金额】为免费，通过循环实现每天都有物流运输，持续几个月每天（【驻留周期】），【类型】属于外出派驻",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"76","109512020000000901","1095120200000009","3月10日晚8-10点【起止时间】，新冠确诊病例王某某与家人按照每周一次的习惯【频次】在后海酒吧就餐【行为】，进入花费基础消费200元【要求，成本】，用餐后【状态】导致疫情传播扩大【结果】。",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
"77","109512020000000902","1095120200000009","2022年4月28日【起止时间】，越秀区新增1例新冠病毒核酸检测结果阳性人员在4月27日白云机场例行检查中发现新冠病毒核酸检测结果阳性【行为】，为机场工作人员，每周一、三、五机场上班【频次】，现居住在越秀区，已闭环转运至广州医科大学附属市八医院隔离治疗【结果，状态】，本次筛查将封控部分机场工作区【要求】，且相关费油均由地方政府承担【成本】。",NULL,"2023-05-23 00:35:25",NULL,"2024-01-18 07:00:22","0","0"
